LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 16 16 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00119712
  estimated relative force accuracy = 3.60508e-06
  using double precision FFTs
  3d grid and FFT values/proc = 1053 112
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0537 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
       0          298    1.2509986    3383.1747            0            0    1037.6199   -1153.2783   -15934.846    44657.537 -0.067234084   -17.036218 -0.041707817     3498.833    1521.0094     935.4334    889.67826    28.379601    18.846571    14.337846 2.3535127e-29 2.3910021e-29 2.2534249e-29 2.2900766e-29          298     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069 7.2177013e-23    28.379761    18.846182    14.337739 
   10000    295.27877    1.2509986    3566.8256            0            0     1040.364   -1153.3032   -10423.874    44657.537 -0.067234084   -17.036218 -0.041707817    3679.7648    1548.8545    1001.3816    960.76692    28.380671     18.84409    14.337492  0.000314523 0.00031439607 0.00032593959 0.00032579964    295.27877     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    943.56899    28.379891    18.845993    14.338012 
   20000      295.969    1.2509986    3482.0359            0            0    1042.7145    -1153.326   -8058.5175    44657.537 -0.067234084   -17.036218 -0.041707817    3592.6473    1517.0336    995.31364    919.36372    28.380725    18.845005    14.337399 0.00032583664 0.00032559542 0.00032911665 0.00032893941      295.969     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    977.50992    28.379443     18.84597    14.337431 
   30000    300.21935    1.2509986    3501.4151            0            0    1042.3279   -1153.1599    -9200.223    44657.537 -0.067234084   -17.036218 -0.041707817    3612.2471    1506.7768    1014.8511    935.74484        28.38    18.844637    14.336656 0.00034444566 0.00034426054 0.00035144609 0.00035141753    300.21935     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1033.337    28.379796    18.845813     14.33752 
   40000    296.77159    1.2509986    3464.6753            0            0     1041.591   -1153.1406   -8761.1384    44657.537 -0.067234084   -17.036218 -0.041707817     3576.225    1514.2151    998.82551    905.51164    28.377568    18.845567    14.335433 0.00032038945 0.00032005698 0.00032725422 0.00032675639    296.77159     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    961.16835    28.380124    18.846013    14.337324 
   50000    293.85031    1.2509986    3449.6387            0            0    1042.1702   -1153.3067   -8534.4513    44657.537 -0.067234084   -17.036218 -0.041707817    3560.7753    1503.6073     988.6315    913.24501    28.378112    18.844426    14.337157 0.00032933121 0.00032881009 0.00033735003 0.00033657335    293.85031     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    987.99363    28.380355    18.845778    14.337671 
   60000    301.62811    1.2509986    3486.0424            0            0    1041.8318   -1153.3936   -8236.8019    44657.537 -0.067234084   -17.036218 -0.041707817    3597.6041     1551.709     963.2519    925.57068    28.377914    18.845056    14.336815 0.0003331831 0.00033288718 0.00033891443 0.00033870663    301.62811     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    999.54931    28.380108      18.8464    14.337381 
   70000    296.90881    1.2509986    3441.1053            0            0    1041.5339    -1153.101   -9140.9944    44657.537 -0.067234084   -17.036218 -0.041707817    3552.6725    1492.9159    941.39358     955.5493    28.378818    18.845099    14.337369 0.00033985436 0.00033953636 0.00034241972 0.00034197269    296.90881     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1019.5631    28.379266    18.846254       14.338 
   80000    302.23703    1.2509986    3378.7064            0            0    1041.5883   -1153.3025   -9038.7081    44657.537 -0.067234084   -17.036218 -0.041707817    3490.4206    1481.8613    953.80042    899.38638    28.381546    18.846101    14.338726 0.00034529611 0.00034505352 0.0003528133 0.00035237021    302.23703     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1035.8883    28.379285    18.846102    14.337838 
   90000    299.25157    1.2509986    3409.6581            0            0    1040.0122   -1153.3355   -8868.9441    44657.537 -0.067234084   -17.036218 -0.041707817    3522.9814    1515.2963    963.85808    887.68583    28.378733    18.843985    14.337805 0.00033114704 0.00033106148 0.00033310596 0.00033297633    299.25157     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    993.44113    28.379513    18.846033    14.337784 
  100000    294.48139    1.2509986    3457.1484            0            0    1041.4983   -1153.5151   -9037.5715    44657.537 -0.067234084   -17.036218 -0.041707817    3569.1652     1508.766     959.3547    935.70739    28.379162    18.846755    14.337919 0.00034187928 0.0003414893 0.00034355377 0.00034293882    294.48139     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1025.6378    28.379772    18.846582    14.338218 
  110000     296.1837    1.2509986    3461.8033            0            0    1042.4167    -1153.211   -7447.0973    44657.537 -0.067234084   -17.036218 -0.041707817    3572.5977    1544.5132    977.66251    891.37376     28.38011    18.846565    14.337797 0.00034162124 0.00034143876 0.00034523824 0.00034513289     296.1837     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1024.8637    28.379487    18.845909    14.337558 
  120000    296.72729    1.2509986    3453.3824            0            0      1042.13   -1153.2401   -9362.1733    44657.537 -0.067234084   -17.036218 -0.041707817    3564.4925    1524.5704    973.24235    910.77089    28.379327    18.846153    14.337519 0.00034942228 0.00034912287 0.00035114482 0.00035052072    296.72729     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1048.2668    28.380099    18.846385     14.33736 
  130000    301.13304    1.2509986    3415.4922            0            0     1040.649   -1153.5192   -9233.8903    44657.537 -0.067234084   -17.036218 -0.041707817    3528.3625    1462.2989    985.08233    918.62764    28.379659    18.846248    14.336038 0.00034717571 0.00034700683 0.00035639006 0.00035626694    301.13304     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1041.5271    28.379668    18.845968    14.337401 
  140000    298.03323    1.2509986    3492.0089            0            0    1042.4711   -1153.1272   -9779.6391    44657.537 -0.067234084   -17.036218 -0.041707817    3602.6649    1500.0266    975.39167     963.0334    28.380043    18.845568    14.337189 0.00036672547 0.00036544962 0.00036804032 0.00036609457    298.03323     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1100.1764    28.379738    18.847022    14.336984 
  150000    297.19548    1.2509986    3444.1648            0            0    1042.1552   -1153.2267   -7978.3118    44657.537 -0.067234084   -17.036218 -0.041707817    3555.2363    1522.8092    973.68473    898.05662    28.378838    18.846751    14.336663 0.00034677789 0.00034638871 0.00035101096 0.00035062726    297.19548     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1040.3337     28.37999    18.846377    14.338285 
  160000    298.37663    1.2509986    3398.9297            0            0    1039.3212   -1153.3923   -9856.3227    44657.537 -0.067234084   -17.036218 -0.041707817    3513.0008    1484.5406    965.29972    907.72254    28.381336    18.845727    14.338067 0.00033783233 0.00033780393 0.00034029153 0.00034003562    298.37663     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1013.497    28.379716    18.846234    14.337585 
  170000    300.46125    1.2509986    3451.1634            0            0    1041.8987   -1153.2397   -8008.6986    44657.537 -0.067234084   -17.036218 -0.041707817    3562.5044     1525.902    984.08024    903.67045    28.377029     18.84546    14.337186 0.00035615907 0.00035587164 0.00035895813 0.00035839704    300.46125     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1068.4772    28.379419    18.846535    14.337524 
  180000    297.51218    1.2509986    3415.4193            0            0    1042.5977    -1153.401   -8138.4588    44657.537 -0.067234084   -17.036218 -0.041707817    3526.2226    1482.3699    989.24553    899.99782    28.379174    18.846113     14.33712 0.00035008184 0.00034983312 0.0003502946 0.00034978925    297.51218     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1050.2455    28.379341    18.846089    14.337992 
  190000    299.31774    1.2509986    3372.9494            0            0    1043.0921   -1153.1886   -8157.2751    44657.537 -0.067234084   -17.036218 -0.041707817    3483.0459    1451.9636    998.76769    881.36029    28.379463    18.845991    14.337813 0.00035200733 0.00035131896 0.00036846785 0.00036753881    299.31774     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1056.022    28.379554    18.846979    14.337844 
  200000    304.66317    1.2509986    3354.0806            0            0     1040.962   -1153.4684   -8761.1984    44657.537 -0.067234084   -17.036218 -0.041707817     3466.587    1472.5125    955.51124    886.70357    28.377372    18.846483     14.33661 0.00035129098 0.00035126178 0.00035797106 0.00035790792    304.66317     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1053.8729    28.379747    18.846347    14.337696 
  210000    302.62259    1.2509986    3338.4498            0            0    1041.9385   -1153.3346   -8841.6074    44657.537 -0.067234084   -17.036218 -0.041707817    3449.8459    1462.4394    949.79121    882.03205    28.378767    18.845119    14.337421 0.00036143174 0.00036070699 0.00036890796 0.00036771454    302.62259     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1084.2952    28.379231    18.845926    14.338354 
  220000    289.74098    1.2509986    3349.6556            0            0    1040.7397   -1153.3816   -7327.1017    44657.537 -0.067234084   -17.036218 -0.041707817    3462.2976    1431.1011    975.16826      903.573    28.379397    18.844759    14.338048 0.00035544187 0.00035542886 0.00036289234 0.00036281084    289.74098     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1066.3256    28.379864    18.846212    14.337779 
  230000    295.58034    1.2509986    3456.7945            0            0     1042.029   -1153.5189   -7949.6309    44657.537 -0.067234084   -17.036218 -0.041707817    3568.2843    1510.6987    1002.4711    897.29148    28.378696    18.846495    14.336986 0.00036058629 0.00036030706 0.00037301869 0.00037275152    295.58034     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1081.7589    28.379347    18.846424    14.337962 
  240000    293.47739    1.2509986    3306.0059            0            0     1042.453   -1153.4321   -8161.1996    44657.537 -0.067234084   -17.036218 -0.041707817     3416.985    1416.0285    957.69246    891.60748    28.380834     18.84394    14.338049 0.00034931797 0.00034913161 0.00035521679 0.00035503029    293.47739     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1047.9539    28.379907    18.846549    14.337913 
  250000    298.96363    1.2509986     3391.064            0            0    1042.1973   -1153.5678   -7397.9967    44657.537 -0.067234084   -17.036218 -0.041707817    3502.4344    1464.9682    956.44689    918.34919     28.38068    18.845653    14.338594 0.00034187991 0.00034146248 0.00034783785 0.00034730422    298.96363     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1025.6397    28.379948    18.846112    14.338354 
  260000    294.45845    1.2509986    3420.4531            0            0     1040.269   -1153.4026   -9102.1495    44657.537 -0.067234084   -17.036218 -0.041707817    3533.5868    1485.4361     990.3571     904.2342    28.382265    18.845503      14.3369 0.00035047739 0.00034985101 0.00035548215 0.00035496822    294.45845     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1051.4322    28.380175    18.846076    14.337073 
  270000     292.9704    1.2509986    3395.9976            0            0    1040.6231   -1153.2178   -8590.4236    44657.537 -0.067234084   -17.036218 -0.041707817    3508.5924    1470.0135    994.70664    895.54305    28.379025    18.846951    14.337607 0.00037947416 0.00037894645 0.00038594595 0.00038551067     292.9704     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1138.4225    28.379781    18.845687     14.33827 
  280000    298.98851    1.2509986    3326.0929            0            0    1042.7323   -1153.2631   -8691.5707    44657.537 -0.067234084   -17.036218 -0.041707817    3436.6237    1458.0892    947.13443    881.62981    28.382554    18.844614    14.338655 0.00034825073 0.00034809792 0.00035810878 0.00035797693    298.98851     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1044.7522    28.380147    18.846177    14.337678 
  290000     295.5334    1.2509986    3440.1122            0            0    1041.5148   -1153.3761    -8862.789    44657.537 -0.067234084   -17.036218 -0.041707817    3551.9734    1497.1846    973.26079    922.45242     28.37851    18.844597    14.337741 0.00034940071 0.00034902032 0.00035575746 0.00035549474     295.5334     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1048.2021     28.37975     18.84679    14.337639 
  300000    297.55488    1.2509986    3403.8356            0            0    1040.1572   -1153.3291   -8955.0935    44657.537 -0.067234084   -17.036218 -0.041707817    3517.0075    1511.7842    952.50518    895.13077    28.379534    18.845555    14.338175 0.0003612853 0.00036107945 0.00037068295 0.00037026601    297.55488     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1083.8559    28.379755    18.846027    14.338165 
  310000    298.71837    1.2509986    3382.3035            0            0    1040.0423   -1153.4372   -8444.0003    44657.537 -0.067234084   -17.036218 -0.041707817    3495.6983    1488.6307    944.67645    907.83846    28.380996     18.84618    14.337633 0.00035098226 0.00035064868  0.000353825 0.0003530299    298.71837     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1052.9468     28.38013    18.846562    14.337509 
  320000    295.98695    1.2509986    3352.9232            0            0    1040.4046     -1153.34   -9651.2402    44657.537 -0.067234084   -17.036218 -0.041707817    3465.8586    1481.3733    942.92301    888.98429    28.379574    18.845836    14.337629 0.0003382269 0.00033772247 0.00034157258 0.00034094669    295.98695     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1014.6807    28.379351     18.84561    14.337644 
